Title,Abstract,Author,Aggregation_Type,Publisher,Publication_Date,Institutions,Keywords
Research on engineering parameter perception and innovation application based on Internet of things,"Antenna engineering parameters are the benchmark of the wireless network planning and optimization. It is of great significance for reducing the difficulty of the network operation and optimization by acquiring engineering parameters through the Internet of things. Starting from the importance of antenna parameters, the key technology of antenna parameters perception based on the Internet of things was introduced, and an innovative application of 5G massive MIMO intelligence was proposed. The basic process and method were clarified, which lays the foundation for advancing the antenna technology for Internet of things.",Li Y.; Zhu X.,Journal,Chinese Journal on Internet of Things,2019-12-30,China Telecom Corporation Limited,5G ;  engineering parameter ;  massive MIMO
Eco-Process Innovation Performance: Production Waste Investigation through Discrete Event Simulation,"Eco-process innovation has been recognised as an effective green strategy for altering manufacturing processes so as to improve a firm's environmental performance. As many recent eco-innovation studies focusing on perceptual approach of investigating the performance indicators, new study opportunity knocked the door for new knowledge disclosure of operational approach, since it has been largely ignored. This paper aims to assess production waste improvement brought by eco-process innovation implementation in a manufacturing facility. For this purpose, the discrete event simulation approach has been applied to model and simulate the waste rate of previous state and current state of an eco-innovatively improved production line, using the real operational data. Comparison between both states of production system demonstrated a reduction of 0.14% and 0.02% in waste rate at visual mechanical inspection and final test inspection points consecutively, hence confirmed that eco-process innovation practice enabled the improvement of the environmental performance of manufacturing firm. The study is a small part of a larger research work of which the authors are developing indicators for measuring eco-process innovation performance at the firm level.",Dahan S.; Yusof S.,Conference Proceeding,IOP Conference Series: Materials Science and Engineering,2019-12-30,Razak Faculty of Technology and Informatics;Universiti Malaysia Pahang Al-Sultan Abdullah,
Pushing the activity of CO<inf>2</inf> electroreduction by system engineering,"As a promising technology that may solve global environmental challenges and enable intermittent renewable energy storage as well as zero-carbon-emission energy cycling, the carbon dioxide reduction reaction has been extensively studied in the past several years. Beyond the fruitful progresses and innovations in catalysts, the system engineering-based research on the full carbon dioxide reduction reaction is urgently needed toward the industrial application. In this review, we summarize and discuss recent works on the innovations in the reactor architectures and optimizations based on system engineering in carbon dioxide reduction reaction. Some challenges and future trends in this field are further discussed, especially on the system engineering factors.",Shen H.; Gu Z.; Zheng G.,Journal,Science Bulletin,2019-12-30,Fudan University,Artificial photosynthesis ;  Catalytic reactor engineering ;  CO  reduction 2 ;  Electrocatalysis ;  Flow-cell electrolyzer
Interdisciplinary approaches to digital transformation and innovation,"Business approaches in today's society have become technologically-driven and highly-applicable within various professional fields. These business practices have transcended traditional boundaries with the implementation of internet technology, making it challenging for professionals outside of the business world to understand these advancements. Interdisciplinary research on business technology is required to better comprehend its innovations. Interdisciplinary Approaches to Digital Transformation and Innovation provides emerging research exploring the complex interconnections of technological business practices within society. This book will explore the practical and theoretical aspects of e-business technology within the fields of engineering, health, and social sciences. Featuring coverage on a broad range of topics such as data monetization, mobile commerce, and digital marketing, this book is ideally designed for researchers, managers, students, engineers, computer scientists, economists, technology designers, information specialists, and administrators seeking current research on the application of e-business technologies within multiple fields.",Luppicini R.,Book,Interdisciplinary Approaches to Digital Transformation and Innovation,2019-12-27,University of Ottawa,
Graph clustering in industrial networks,"The present work investigates clustering of a graph-based representation of industrial connections derived from international trade data by Hidalgo et al. (2007, The product space conditions the development of nations. Science, 317) and confirms the existence of nine industrial clusters that are reasonably consistent with expected historical patterns of diffusion of innovation and technology. This supports the notion that technological development occurs in sequential waves of innovation. The clustering method developed in this work follows conceptual ideas introduced by Pons and Latapy (2006, Computing communities in large networks using random walks. J. Graph Alg. Appl., 10, 191-218), Lambiotte and Barahona (2009, Laplacian dynamics and multiscale modular structure in networks. arXiv.org.) and other researchers-random walks can be used to assess hierarchical structures of network communities. We, however, implement these ideas differently in order to match the physics of the problem under consideration and introduce a hierarchical clustering procedure that is progressive in time and is combined with concurrent reordering of the elements. An equivalent spectral interpretation of the clustering procedure is also given and discussed in the paper.",Bouet V.; Klimenko A.,Journal,IMA Journal of Applied Mathematics (Institute of Mathematics and Its Applications),2019-12-27,The University of Queensland,diffusion of innovation and technology ;  graph clustering ;  random walk
2019 Nobel Prize in Chemistry to Li-ion batteries: A milestone but fresh start,"On October 9, 2019, the Royal Swedish Academy of Sciences announced that the 2019 Nobel Prize in Chemistry was awarded jointly to John B. Goodenough of University of Texas at Austin, M. Stanley Whittingham of the State University of New York at Bingham, and Akira Yoshino of Asahi Corporation of Japan for the development of lithium (Li)-ion batteries. It is a recognition for each practitioner who has contributed to the development of Li-ion batteries: proposing the fundamental working mechanism, creating the prototype in laboratory, and achieving the successful commercialization that the Nobel chemistry prize was awarded to three scientists in the field of Li-ion batteries. Moreover, it is also an encouragement for those who are still engaged in the research and development of Li-ion or next-generation batteries and devote to promoting the processes of a clean and wireless society. There is no doubt that Li-ion batteries have gradually touched every aspect of the society and accompany with us in our daily life. 50 years has passed from the firstly proposed concept to the present commercialization, which is a journey full of twists and turns. The success of Li-ion batteries from concept to commercial products with wide application is highly depended on the cooperation from multi-disciplines, multi-fields and multi-countries. The research and development of Li-ion batteries involves physics, chemistry, materials, energy, mechanics, automation, informatics, electronics, and other fields, in which the basic principle of energy storage in Li-ion batteries relies on the internal electrochemical reactions. The popularization of Li-ion batteries in our daily life requires not only the creation of original innovations from scientists, but also scale-up manufacture from engineers to form a products, the establishment of standards in industry, the design of product according to the demand of end-users, the product marketing, and other aspects, which is a system engineering. Through the continuous communications and inspirations of the researchers in Li-ion batteries, in which Nobel Prize winner, John B. Goodenough, Stanley Whittingham, and Akira Yoshino are representative, Li-ion batteries keep on advancing in the ups and downs. Li-ion batteries have revolutionized our daily life significantly towards wireless and clean style, leading to rapidly increasing demands for batteries with higher energy density and safety. However, limited by the working principle, the energy density of Li-ion batteries is approaching to the theoretical value recently and the growth rate of energy density has decreased from 7% to 2% per year. In order to further promote the development of high-energy-density and rechargeable batteries, the new working principles, systems, and methods to achieve the new energy storage devices with higher energy density, safer and faster charge are highly required. The fundamental understanding on the evolution of battery materials at the electronic, atomic, molecular and material level while working is necessary. Moreover, the integral recycling and remanufacturing of Li-ion batteries should also be taken into consideration owing to the limited resources and environmental capacity in the earth, especially when Li-ion batteries become the mainstream of energy storage systems in the future. Under such background, many new battery systems have been proposed, such as Li-sulfur batteries, Li-air batteries, sodium-ion batteries, potassium-ion batteries, magnesium-ion batteries, aluminum-ion batteries, zinc-ion batteries, and solid-state batteries. The emerging but increasing new materials provide new opportunities for the development of battery systems. It is highly expected to propose new-type energy storage devices with unique properties to satisfy the needs of energy storage equipment in the future by introducing sodium, potassium, aluminum, zinc, and other alkaline or alkaline earth metals in battery system. The breakthroughs of next-generation batteries are on the way for a wireless and non-fossil society. Next-generation batteries are in strong pursuit around the world for the breakthrough in key technologies. The emerging battery chemistries with different features can be developed for the various scenarios in practical applications. Batteries render a better life.",Zhang Q.,Journal,Kexue Tongbao/Chinese Science Bulletin,2019-12-25,Tsinghua University,2019 Nobel Prize in Chemistry ;  Li-ion batteries ;  Next-generation batteries ;  Rechargeable batteries
Development characteristics and orientation of tight oil and gas in China,"Through reviewing the development history of tight oil and gas in China, summarizing theoretical understandings in exploration and development, and comparing the geological conditions and development technologies objectively in China and the United States, the progress and stage of tight oil and gas exploration and development in China have been clarified, and the future development orientation of theory and technology, process methods and development policy for tight oil and gas in China have been envisaged. In nearly a decade, relying on the exploration and development practice, science and technology research and management innovation, huge breakthroughs have been made in the exploration and development of tight oil and gas in China. The laws of formation, distribution and accumulation of tight oil and gas have been researched, the development theories such as ""multi-stage pressure drop"" and ""man-made reservoirs"" have been established, and several technology series, including enrichment regions selection, well pattern deployment, single well production and recovery factor enhancement, and low cost development, have been innovated and integrated. All those promote the rapid rise of both reserves and production of tight oil and gas. However, limited by the sedimentary environment and tectonic background, compared with North America, China's tight oil and gas reservoirs are worse in continuity, more difficult to develop and poorer in economic efficiency. Moreover, there are still some gaps in reservoir identification accuracy and fracturing technology between China and North America. In the future, boosting the rapid development of tight oil and gas, Chinese oil and gas companies should further improve the resource evaluation method, tackle key technologies such as high-precision 3D seismic interpretation, man-made reservoir, and intelligent engineering, innovate theories and technologies to enhance single well production and recovery rate, and actively endeavor to get the finance and tax subsidy on tight oil and gas.",Sun L.; Zou C.; Jia A.; Wei Y.; Zhu R.; Wu S.; Guo Z.,Journal,Shiyou Kantan Yu Kaifa/Petroleum Exploration and Development,2019-12-23,Daqing Oilfield Company Limited;Research Institute of Petroleum Exploration and Development;Heilongjiang Provincial Key Laboratory of Continental Shale Oil,Development history ;  Development orientation ;  Enhancing recovery factor ;  Man-made oil and gas reservoir ;  Theoretical and technological advancement ;  Tight oil and gas
BP neural network study on the quality evaluation system of innovation and entrepreneurship education in local universities,"When the country vigorously advocates the goal of cultivating innovative and entrepreneurial engineering talents, the quality evaluation of innovation and entrepreneurship education has naturally become a part of the higher education system. However, there are few studies on the quality evaluation of innovation and entrepreneurship education in engineering majors in China. Firstly, through literature research, combined with the current development trend of quality evaluation of innovation and entrepreneurship education at home and abroad, BP neural network-based evaluation method was selected. Secondly, according to the three-element theory of education, namely, the three factors of educators, educators and education, and comprehensive research, the content of quality evaluation of innovation and entrepreneurship education in engineering majors in colleges and universities is determined, that is, from professional links, teaching links and students. Levels to build evaluation indicators. After establishing the evaluation index system, this paper uses Chengdu University of Technology as a research sample to issue questionnaires for engineering students in Chengdu University of Technology to obtain data for use, and to analyze and analyze the data by AHP, so as to obtain the weight of each indicator. Finally, based on the data collected by the questionnaire, the BP neural network data fitting and model training and optimization are carried out to determine the feasibility of the quality evaluation index of innovation and entrepreneurship education in engineering majors in colleges and universities, and to establish BP neural network evaluation model for engineering majors. The innovation and entrepreneurship education quality evaluation system provides new research methods and research ideas, enriches the connotation and breadth of the quality evaluation system of innovation and entrepreneurship education in engineering majors, and makes up for the shortcomings and vacancies in related fields.",Huang W.; Liu B.; He X.; Zhou Y.; Ning B.; Wang L.,Conference Proceeding,Journal of Physics: Conference Series,2019-12-20,Chengdu University of Technology,
ICETM 2019 - Proceedings of 2019 2nd International Conference on Education Technology Management,"The proceedings contain 21 papers. The topics discussed include: investigating the Dunning-Kruger effect among students within the contexts of a narrative-centered game-based learning environment; study on the case-based teaching method in the circuit principle course under emerging engineering education; teachers' meaning formation and mental concept representation of inclusion; design of a multicriterion model with a diffuse hierarchical analysis process - FAHP, for the selection of suppliers in a mobile cellular telecommunications company; the effect of operations risk on cooperation efficiency of industry-university-research knowledge innovation alliance in China; and trial to increase motivation on programming by using hardware control functions in the AT visual programming environment.",,Conference Proceeding,ACM International Conference Proceeding Series,2019-12-18,,
ITiCSE-WGR 2019 - Proceedings of the Working Group Reports on Innovation and Technology in Computer Science Education,The proceedings contain 9 papers. The topics discussed include: fostering program comprehension in novice programmers - learning activities and learning trajectories; 1.5 degrees of separation: computer science education in the age of the anthropocene; pass rates in introductory programming and in other STEM disciplines; an empirical approach to understanding data science and engineering education; review and use of learning theories within computer science education research: primer for researchers and practitioners; an international study piloting the measuring teacher enacted computing curriculum (METRECC) instrument; toward a cloud computing learning community; and securing the human: a review of literature on broadening diversity in cybersecurity education.,,Conference Proceeding,"Annual Conference on Innovation and Technology in Computer Science Education, ITiCSE",2019-12-18,,
