Title,Abstract,Authors,Aggregation_Type,Publisher,Publication_Date,Institutions,Keywords
CA-SSLR: Condition-Aware Self-Supervised Learning Representation for Generalized Speech Processing,"We introduce Condition-Aware Self-Supervised Learning Representation (CA-SSLR), a generalist conditioning model broadly applicable to various speech-processing tasks. Compared to standard fine-tuning methods that optimize for downstream models, CA-SSLR integrates language and speaker embeddings from earlier layers, making the SSL model aware of the current language and speaker context. This approa…▽ More",Yen-Ju L.; Jing L.; Thomas T.; Laureano M.; Ariya R.; Najim D.; Jesus V.,,,2024-12-05,,
Federated Automated FeatureEngineering,"Automated featureengineering(AutoFE) is used to automatically create new features from original features to improve predictive performance without needing significant human intervention and expertise. Many algorithms exist for AutoFE, but very few approaches exist for the federated learning (FL) setting where data is gathered across many clients and is not…▽ More",Tom O.; Diego K.,,,2024-12-05,,
Asynchronous Batch Bayesian Optimization with Pipelining Evaluations for Experimental Resource\unicode{x2013}constrained Conditions,"Bayesian optimization is efficient even with a small amount of data and is used inengineeringand in science, including biology and chemistry. In Bayesian optimization, a parameterized model with an uncertainty is fitted to explain the experimental data, and then the model suggests parameters that would most likely improve the results. Batch Bayesian optimi…▽ More",Yujin T.; Yusuke S.; Yusuke H.; Takashi M.; Takahiro; Akira F.,,,2024-12-05,,
Intersection-Aware Assessment of EMS Accessibility in NYC: A Data-Driven Approach,"Emergency response times are critical in densely populated urban environments like New York City (NYC), where traffic congestion significantly impedes emergency vehicle (EMV) mobility. This study introduces an intersection-aware emergency medical service (EMS) accessibility model to evaluate and improve EMV travel times across NYC. Integrating intersection density metrics, road network characteris…▽ More",Haoran S.; Joseph,,,2024-12-05,,
Emergent Weyl-like points in periodically modulated systems and Floquetengineering,"We investigate a three-dimensional topological phase resembling a Weyl semimetal, modulated by a periodic potential andengineeredthrough Floquet dynamics. This system is constructed by stacking two-dimensional Chern insulators and hosts Weyl-like points defined in the parameter space(k_x, k_y, z), distinct from conventional Weyl points in momentum space…▽ More",Fang Q.; Rui C.,,,2024-12-05,,
Anomalous spectrum in a non-Hermitian quasiperiodic chain,"…intermittently appear in the pool of localized states. We also argue that such anomalous spectral intermixing can be realized in the short-range hopping limit by appropriateengineeringof the onsite potential. Moreover, we obtain that the nature of the spectrum also reveals non-standard scenarios in the complex energy plane where the complex energies encirc…▽ More",Soumya; Sanchayan B.; Tanay N.; Tapan M.,,,2024-12-05,,
Reinforcement Learning for Freeway Lane-Change Regulation via Connected Vehicles,"Lane change decision-making is a complex task due to intricate vehicle-vehicle and vehicle-infrastructure interactions. Existing algorithms for lane-change control often depend on vehicles with a certain level of autonomy (e.g., autonomous or connected autonomous vehicles). To address the challenges posed by low penetration rates of autonomous vehicles and the high costs of precise data collection…▽ More",Ke S.; Huan Y.,,,2024-12-05,,
Action Mapping for Reinforcement Learning in Continuous Environments with Constraints,"Deep reinforcement learning (DRL) has had success across various domains, but applying it to environments with constraints remains challenging due to poor sample efficiency and slow convergence. Recent literature explored incorporating model knowledge to mitigate these problems, particularly through the use of models that assess the feasibility of proposed actions. However, integrating feasibility…▽ More",Mirco T.; Lukas D.; Raphael T.; Marco C.; Alberto,,,2024-12-05,,
Stealthy Optimal Range-Sensor Placement for Target Localization,We study a stealthy range-sensor placement problem where a set of range sensors are to be placed with respect to targets to effectively localize them while maintaining a degree of stealthiness from the targets. This is an open and challenging problem since two competing objectives must be balanced: (a) optimally placing the sensors to maximize their ability to localize the targets and (b) minimizi…▽ More,Mohammad; Rifat S.; Laurent L.,,,2024-12-05,,
Structure-Aware Stylized Image Synthesis for Robust Medical Image Segmentation,"Accurate medical image segmentation is essential for effective diagnosis and treatment planning but is often challenged by domain shifts caused by variations in imaging devices, acquisition conditions, and patient-specific attributes. Traditional domain generalization methods typically require inclusion of parts of the test domain within the training set, which is not always feasible in clinical s…▽ More",Jie B.; Zhixin Z.; Wen; Rui L.,,,2024-12-05,,
