Title,Abstract,Author,Aggregation_Type,Publisher,Publication_Date,Institutions,Keywords
Research on development status and innovation trend of giant magnetostrictive materials based on patent analysis,"In the paper, patent literatures of giant magnetostrictive materials in engineering application were comparatively collected and analyzed through statistics, from the overall overview, IPC technology and patent map. Patent literatures of giant magnetostrictive material in engineering application were collected by keywords, and the data integrity and multiplicity of retrieval results were processed and verified to obtain complete patent literature. Based on the patent literature information extraction and data processing, the overview, the IPC distribution, the patent map technology, patent keywords, patent value and other aspects were overall analyzed. The global development status and trend of giant magnetostrictive materials in engineering application were studied. The research is crucial to the China's technology innovation and the patent strategy of giant magnetostrictive materials in engineering application.",Yan H.; Tan R.; Yang Z.; Hao H.,Journal,Gongneng Cailiao/Journal of Functional Materials,2017-12-30,Inner Mongolia University of Science and Technology;Baotou Research Institute of Rare Earth;Hebei University of Technology,Dynamic of technology ;  Giant magnetostrictive materials ;  Innovation trend ;  Patent analysis
ACM International Conference Proceeding Series,"The proceedings contain 24 papers. The topics discussed include: a systematic literature review on combining ontology with Bayesian network to support logical and probabilistic reasoning; real-time analysis and visualization for big data of energy consumption; combining word order and CNN-LSTM for sentence sentiment classification; emotion classification of Duterte administration tweets using hybrid approach; a comparative study: different automatic approaches of stars generation for reviews; tree structure for expressive MapReduce framework; mobile travel apps' adoption: integrating perceived characteristics of innovation and software quality; a comprehensive investigation of model driven architecture (MDA) for reverse engineering; an aspect oriented approach for supporting house bookkeeping software design; empirical study on software bug prediction; a feature-oriented domain design approach to FX derivatives trading system; evaluating usability for mobile application: a MAUEM approach; the effect of sizes of the feature sets on intrusion detection performances; beyond cybersecurity awareness: antecedents and satisfaction; online community support for the marketing of cosmetic medicine; research on potential damage estimation of household appliances based on gcForest model; a comparison of teachers' supportive behaviour in middle high school classroom in Taiwan, Shanghai-China, and Finland: evidence from PISA 2012; and targeting algorithm based on ITSM.",,Conference Proceeding,ACM International Conference Proceeding Series,2017-12-28,,
3D printed braille maps - Texas A&M,"This report explores the practical application of 3D printing as a medium for large and small scale braille maps. In October 2016 the Engineering Innovation Center located at Texas A&M University completed a draft run of braille maps printed in a desktop ABS printer. This project resulted when one mechanical engineering freshman took a 3D printing class at the Engineering Innovation Center and reflected on how they could use 3D printed parts to help a vision impaired student find locations across campus. Further collaboration with the Engineering Innovation Center manager resulted in these maps being installed in several local community colleges and a large two foot square map developed for the Texas A&M campus. These maps are printed with topographic details, including a representation of the building, road and walkways, all highlighted with a surface extruded braille header. The project is currently experimenting with various materials including UV and weather resistant plastics and coatings. The ultimate goals is provide all major arteries of the main campus with a sustainable, reliable braille map of the university. This project will conclude with standardized snap together format to make large scale maps from any CAD file to be distributed to any public domain service. Author's Note - This report will highlight the unique perspectives of Tyler Wooten and Jim Wilson. Tyler Wooten is an engineering undergraduate student who created the project concept, developed the prototypes and has generated a working model for presentation to the student body. Jim Wilson manages a large academic maker space for the Texas A&M College of Engineering. His knowledge of prototyping and engineering design was key to getting Tyler Wooten a working artifact.",Wilson J.; Wooten T.,Conference Proceeding,"GHTC 2017 - IEEE Global Humanitarian Technology Conference, Proceedings",2017-12-22,Texas A&M University,
Big Earth data: A new frontier in Earth and information sciences,"Big data is a revolutionary innovation that has allowed the development of many new methods in scientific research. This new way of thinking has encouraged the pursuit of new discoveries. Big data occupies the strategic high ground in the era of knowledge economies and also constitutes a new national and global strategic resource. “Big Earth data”, derived from, but not limited to, Earth observation has macro-level capabilities that enable rapid and accurate monitoring of the Earth, and is becoming a new frontier contributing to the advancement of Earth science and significant scientific discoveries. Within the context of the development of big data, this paper analyzes the characteristics of scientific big data and recognizes its great potential for development, particularly with regard to the role that big Earth data can play in promoting the development of Earth science. On this basis, the paper outlines the Big Earth Data Science Engineering Project (CASEarth) of the Chinese Academy of Sciences Strategic Priority Research Program. Big data is at the forefront of the integration of geoscience, information science, and space science and technology, and it is expected that big Earth data will provide new prospects for the development of Earth science.",Guo H.,Journal,Big Earth Data,2017-12-22,Chinese Academy of Sciences,Big data ;  big Earth data ;  decision support ;  Earth observation ;  geoscience ;  scientific big data ;  scientific discoveries
A smart place to work,,Davis B.,Journal,Nature,2017-12-21,,
Study on Social Responsibility Learning Needs to Capacitate the Responsible Education in Business Engineering,"The advent of digital era and the growing competition require higher education providers to equip graduates with the right mix of skills needed for competing in a technology rich environment, delivering value-added to the market and to the economy at large. The responsible education has a pivotal role in addressing current business issues related to professional business conduct, citizenship and equity values, social and civic skills, and sustainable development concerns. The paper aims to investigate the implications of social responsibility concept in the education area and to examine the learning needs of business engineering students with respect to business, environment, and social concerns deeply embedded in the social responsibility framework. The results enable ranking the attitudes and perceptions, knowledge and skills of business engineering students and bring to light their straightforward expectations with respect to better promoting social responsibility strategies and practices, and the need to bring the world of work with toughest social and innovation issues in the world of education. Considering the research findings, the author paid attention to the responsibility of education to fulfill its role in society by adjusting the business engineering education towards sustainable development and by augmenting education through social responsibility teaching and learning components into the improved curriculum.",Fleacǎ E.,Conference Proceeding,Balkan Region Conference on Engineering and Business Education,2017-12-20,University Politehnica of Bucharest,quality and innovation in higher education ;  social responsibility ;  sustainable education
Emerging Scientific and Engineering Opportunities within the Water-Energy Nexus,"Energy and water resources are deeply interconnected. In the United States, the water sector consumes ∼4% of primary energy, and energy generation is the sector where the most water is withdrawn. These competing water-energy demands are global and not unique to the U.S.; this highlights an urgent role for first-principles scientific innovation. The goal of this perspective is to define the scientific context of the water-energy nexus and examine ways in which developing technologies could have an impact on the future of deriving energy from water and, in turn, water from energy. Scientists, perched upon the steep slopes of demand curves for water and energy, are charged with developing enhanced techniques to enable a sustainable water and energy future. Inevitably though, for sustainability to be achieved, there must be a pairing of these innovative new technologies with a more cognizant public perception surrounding water use and reuse. Fundamentally, energy and water resources are deeply interconnected. This presents urgent demands for impactful innovation in light of trends in population and energy consumption. Appropriate technologies can substitute for water in two of its three main roles (thermal medium, solvent, and biological medium); however, innovation is needed as these technologies have evolved over time from engineering needs, and not first-principles scientific thought. Central research priorities in the water-energy nexus are water-free energy generation, CO2 sequestration, low-energy separations, and enhanced fluids. Above all else discussed in the article, water pretreatment is presently a mystery and could transform future water and energy landscapes on an ultimate path to sustainable energy generation with no water waste. Energy and water comprise a fundamental “double helix” of resource consumption. As developing nations industrialize and populations expand, there is an inevitable tension between these two resources. Current approaches to the production and use of water are unlikely to satisfy these increasing (and competing) demands, particularly in light of global climate change. This article describes the scientific context of the water-energy nexus and highlights the prominent role that innovation can have on the future of deriving energy from water and, in turn, water from energy.",Urban J.,Journal,Joule,2017-12-20,Lawrence Berkeley National Laboratory,energy ;  membranes ;  pretreatment ;  thermal ;  thermoelectric ;  wastewater ;  water
Research on reform plan of civil engineering adult education graduation design,"As for civil engineering adult education graduation design, reform program is put forward combined with our school. The main points of reform include the following aspects. New pattern of graduation design which is consisted of basic training of engineering design, technical application and engineering innovation training is formed. Integration model of graduation design and employment is carried out. Multiple professional guidance graduation design pattern is put forward. Subject of graduation design is chosen based on the school actual circumstance. A ""three stage"" quality monitoring system is established. Performance evaluation pattern that concludes two oral examinations of the dissertation is strictly carried out.",Su Z.; Sun S.; Cui S.,Conference Proceeding,IOP Conference Series: Earth and Environmental Science,2017-12-20,Liaocheng University,
A user-friendly college recommending system using user-profiling and matrix factorization technique,"Currently in India college ranking is the issue that is discussed a lot. In this paper, a common forum where students can get information about various engineering colleges and their ranking. There are many websites that give information about various engineering colleges but when it comes to students, for them it is important to know certain insights to parameters like faculty, campus life, hostel facility, placement etc. Students from small cities and villages have less exposure to various Colleges which are funded by state and central government for studies, Research and Innovation. If these students will have sufficient exposure then the young talent will be properly channelized as per their interest. In this we have developed a recommender system that understands information seeker need and accordingly generates recommendations for him/her through simple interface, which provides information to the students and advisors to improve the choice of courses. In our methodology we have opted for hybrid approach which combines advantages of Collaborative filtering algorithm and Content based filtering algorithm to improve our recommendations. The system consists of an interactive User Profiling [9] process in order to construct profile of the User. As the sample datasets that are used for experiments are large and also contain more number of feature sets, it is essential to understand dataset beforehand. Recommending items based on the users interest requires processing of these large datasets, thus if this information is properly profiled then the task of recommending would get a lot easier. Also when results are shown to the user, big challenge is how well data can be ranked so that user satisfaction is guaranteed.",Girase S.; Powar V.; Mukhopadhyay D.,Conference Proceeding,"Proceeding - IEEE International Conference on Computing, Communication and Automation, ICCCA 2017",2017-12-19,Dr. Vishwanath Karad MIT World Peace University,Matrix Factorization ;  Recommendation System ;  SVD ;  User profiling
Handbook of Research on Biomimetics and Biomedical Robotics,"Biomimetic research is an emerging field that aims to draw inspiration and substances from natural sources and create biological systems in structure, mechanism, and function through robotics. The products have a wide array of application including surgical robots, prosthetics, neurosurgery, and biomedical image analysis. aThe Handbook of Research on Biomimetics and Biomedical Robotics provides emerging research on robotics, mechatronics, and the application of biomimetic design. While highlighting mechatronical challenges in today's society, readers will find new opportunities and innovations in design capabilities in intelligent robotics and interdisciplinary biomedical products. This publication is a vital resource for senior and graduate students, researchers, and scientists in engineering seeking current research on best ways to globally expand online higher education.",Habib M.,Book,Handbook of Research on Biomimetics and Biomedical Robotics,2017-12-15,The American University in Cairo,
