Keywords,count
higher education,74
artificial intelligence,73
machine learning,61
educational innovation,61
green technology innovation,57
sustainability,47
engineering education,36
deep learning,32
tissue engineering,28
education,26
technology,26
biomaterials,22
3d printing,20
bibliometric analysis,18
blockchain,17
digital transformation,17
drug delivery,16
sustainable development,16
industry 4.0,15
stem,15
virtual reality,15
renewable energy,15
digitalization,14
chatgpt,14
artificial intelligence (ai),13
biomedical engineering,13
iot,12
entrepreneurship,12
additive manufacturing,11
regenerative medicine,11
