Title,Abstract,Author,Classification_Codes,Publication_Date,Affiliations_ID,References,Keywords,File_ID
Media perspectives on the particulate matter (PM 2.5) crisis in China,,Zhang Y.,,2018-01-01,,"China scraps ‘Green GDP’ report; Chinese netizens passionately debated the incident that a journalist from the New Express Newspaper has been arrested; Japan, South Korea concerned that China’s smog will affect them; China, the sleeping lion has woken up, says Xi Jinping; Pollution spurs more Chinese protests than any other issue",,201802145
Clinical spectrum and demographic of dengue,,Wiwanitkit V.,,2018-01-01,60029456; 60028190; 60019572,"Demographic and clinical spectrum of dengue patients admitted in a tertiary care hospital; Dengue fever: Diagnosis and treatment; Afebrile dengue: An easily forgotten manifestation; Bleeding and other presentations in Thai patients with dengue infection; Concurrent mosquito-borne triple infections of dengue, malaria and chikungunya: A case report; Zika virus infection and dengue: A new problem in diagnosis in a dengue-endemic area; Concurrent outbreaks of dengue, chikungunya and Zika virus infections-An unprecedented epidemic wave of mosquito-borne viruses in the pacific 2012-2014",,201802142
The value of the doctorate dissertation seminar to personal development,,Gunawan J.,,2018-11-01,,,,201800411
Response to the question (Ref> No.: JN2017754),,Engkagul V.; Klaharn I.; Chirachanchai S.; Sereemaspun A.,,2018-11-01,60028190,"Foundations of Molecular Pharmacology: Volume 2 The Chemical Basis of Drug Action; Polymer Nanoparticles for Nanomedicine: A guide for their Design, Preparation and Development; Tracking the transdermal penetration pathways of optimized curcumin-loaded chitosan nanoparticles via confocal laser scanning microscopy",,201800416
"Discussion of ""Lower-bound finite elements limit analysis for Hoek-Brown materials using Semidefinite Programming"" by Jyant Kumar and Debasis Mohapatra",,Ukritchon B.; Keawsawasvong S.,,2018-07-01,,"""On implementing a primaldual interior-point method for conic quadratic optimization""; ""Bearing capacity of circular footings on a Hoek-Brown material.""; ""Zur Theorie der Spannungszustände in plastischen und sandartigen Medien.""; ""Hoek-Brown failure criterion-2002 edition.""; ""Lower-bound finite elements limit analysis for Hoek-Brown materials using semidefinite programming""; ""Stability charts for rock slopes based on the Hoek-Brown failure criterion""; ""Lower bound limit analysis for jointed rocks using the Hoek-Brown yield criteria""; ""Limit analysis solutions for the bearing capacity of rock masses using the generalized Hoek-Brown yield criterion""; ""Geotechnical stability analysis""; ""Soil parameter optimization of the NGI-ADP constitutive model for Bangkok soft clay""",,201801107
Ophthalmology Snapshot,,Tuntivanich N.,,2018-12-01,,Current examination methods of the canine eye; Surgical correction of corneal dermoid in a dog,,201800074
What is your diagnosis?,,Choisunirachon N.,,2018-09-01,,Monteggia fracture in dog,,201800678
Late Presentation of Anomalous Origin of the Right Pulmonary Artery,,Sitticharoenchai P.; Chattranukulchai P.; Srimahachota S.; Tumkosit M.; Boonyaratavej S.,,2018-12-01,60028190,Anomalous origin of one pulmonary artery from the ascending aorta (hemitruncus) in a premature infant: a case report and literature review; Anomalous origin of one pulmonary artery from the ascending aorta: from diagnosis to treatment in Angola; Unrepaired tetralogy of fallot with right hemitruncus in an adult: a rare case; Early repair of hemitruncus: excellent early and late outcomes,,201800223
Socioeconomic empowerment in an acute HIV cohort,,Phanuphak P.; Phanuphak N.,,2018-01-01,60028190; 60031780,"Acute AIDS retrovirus infection. Definition of a clinical illness associated with seroconversion; Dynamics of HIV viremia and antibody seroconversion in plasma donors: implications for diagnosis and staging of primary HIV infection; A novel acute HIV infection staging system based on 4th generation immunoassay; Revised surveillance case definition for HIV infection—United States, 2014; Detection and treatment of Fiebig stage 1 HIV-1 infection in young at-risk women in South Africa: a prospective cohort study; HIV incidence among non-pregnant women living in selected rural, semi-rural and urban areas in KwaZulu-Natal, South Africa; Initiation of antiretroviral therapy during acute HIV-1 infection leads to a high rate of nonreactive HIV serology; Seroreversion in subjects receiving antiretroviral therapy during acute/early HIV infection; Reactivity of routine HIV antibody tests in children who initiated antiretroviral therapy in early infancy as part of the Children with HIV Early Antiretroviral Therapy (CHER) trial: a retrospective analysis; Age-disparate sex and HIV risk for young women from 2002 to 2012 in South Africa; Association between injectable progestin-only contraceptives and HIV acquisition and HIV target cell frequency in the female genital tract in South African women: a prospective cohort study; Lactobacillus-deficient cervicovaginal bacterial communities are associated with increased HIV acquisition in young South African women",,201802748
A long journey from Chinese-language newspaperman to Chinese specialist: The oral history from two senior Chinese intellectuals in Thailand,,Charoensenee A.,,2018-08-10,,Phattanakan khong kanrian kanson phasachinnai prathedthai,,201800824
