Title,Abstract,Author,Aggregation_Type,Publisher,Publication_Date,Institutions,Keywords
Achievements and Prospects of Yunnan Highway Tunnel Construction,"To promote the popularization and application of engineering technology and innovation achievements in the construction of highway tunnels in Yunnan province, China, the achievements in the construction of highway tunnels in Yunnan in the past 30 years are summarized, and the typical tunnel projects such as the Qincaitang, the Yanglin, and the Hutiaoxia underground interchange, the Fulong K15 shed tunnel, the Laoying tunnel, and the Maolipo tunnel are taken as examples. The innovative achievements and research progress of tunnel technologies such as multi-arch and bifurcation, large deformation of soft rock, high seismic intensity, semi-hidden shed cave, and super-large section are described. The development history of highway tunnel construction technology in Yunnan is reviewed, and the innovation and development of highway tunnel construction concept and technology in Yunnan in recent years are also discussed. Based on the development status of highway tunnels in Yunnan and the technical problems to be solved in the construction, operation, and maintenance, the shortcomings of highway tunnels in terms of poor geological treatment and mechanized construction of tunnel drilling and blasting, application of tunnel boring machine/shield construction, application of information and intelligent technology, preventive maintenance and equipment technology are point out. It is suggested that attentions should be paid to tunnel inspection, strengthening scientific maintenance and operation management of tunnels, service life extension, and service level improvement.","Li, Guofeng;Li, Zhihou",Journal,Tunnel Construction,2023-12-30,Ltd.;Ltd.,high seismic intensity tunnel ;  highway tunnel ;  large-section tunnel ;  multi-arch tunnel ;  shed tunnel ;  soft rock large deformation tunnel ;  tunnel ventilation
The Construction and Application of an Intelligent Prediction Model for University Research Funding,"The accuracy of budget allocation for research and development (R&D) in higher education institutions is relatively deficient. This deficiency significantly hampers the proper establishment of the higher education technological innovation framework and the rational formulation of plans for technological advancement. Empirical analysis model was conducted based on panel data encompassing research input-output dynamics within university of W. By incorporating deep learning techniques, an intelligent predictive model for higher education research and development budget was formulated, with subsequent validation to ascertain the model's scientific validity.","Cui, Zhiyu;Cheng, Yao;Li, Zhifeng;Yu, Zhigang",Conference Proceeding,ACM International Conference Proceeding Series,2023-12-30,Wuhan University of Technology,Deep Learning ;  Evaluation and Prediction of Funding ;  Input-Output ;  Intelligent Prediction ;  Research Funding in university
Research on the Development of New Generation Air-to-Air Missile Abroad,"In order to meet the requirements of infbrmationized and intelligent air warfare characterized by system confrontation, countries all over the world keep pushing forward the new concept of air-to-air missile. The US Air Force' s Next Generation Air Dominance(NGAD) project sets up Air Dominance Air-to-Air Weapon program to explore and integrate new missile concepts for its next generation stealth fighter aircraft, examples include the AIM-260 Joint Advanced Tactical Missile(JATM) and Modular Advanced Mission(MAM). At the same time, the US Air Force has vigorously promoted missile digital engineering, for example Pathfinder projects such as Weapon ONE have been launched, utilizing digital twin technology to quickly enhance weapon combat capabilities and improve research and acquisition processes. France and Britain are developing much of the next generation missile technologies under Materials and Components for Missiles, Innovation and Technology Partnership (MCM ITP)and Complex Weapon Innovation and Technology Partnership(CW ITP) projects. Russia, Israel, India and Japan are also developing their own new generation of air-to-air missile. The emergence of a large number of new technologies promotes the rapid development of air-to-air missile. The anti-stealth, antijamming performance and the level of miniaturization, networking, multi-purpose, digitalization and intelligence for the new air-to-air missile to adapt to the complex combat environment. In the future, air-to-air missile will be given new missions with new attitudes and play a greater role in the air combat system.","Zhao, Hongyan",Journal,Aero Weaponry,2023-12-30,China Airborne Missile Academy,air dominance air-to-air weapon ;  Astra ;  digital weapon ;  I-Derby ER ;  ITP/CW ITP ;  JATM ;  JNAAM ;  MAM ;  MCM ;  NGAD
Quantum innovations at the nexus of biomedical intelligence,"The convergence of quantum technologies and biomedical intelligence is a frontier of boundless potential. The quantum advancements revolutionize disease detection, personalized medicine, and health monitoring frameworks while confronting the pressing challenge of accountability in machine learning systems within the biomedical domain. How do quantum innovations at the nexus of biomedical intelligence redefine biomedical research and healthcare, addressing critical inquiries such as the transformative potential of quantum computing, machine learning, and sensing technologies? Quantum Innovations at the Nexus of Biomedical Intelligence explores the intricate synergy between quantum mechanics and the biomedical domain. This book elucidates the profound implications and applications arising from the fusion of quantum computing, artificial intelligence, and biomedical sciences. This book introduces biomedical engineering, setting the stage for a deep dive into the transformative role of quantum computing and artificial intelligence. As the narrative unfolds, the text navigates the reader through the uncharted territories of quantum-enhanced machine learning, quantum sensing and their profound impact on diagnostics, personalized medicine, and health monitoring frameworks. The intersection of quantum computing and AI in medical advancements and cybersecurity is illuminated, offering a comprehensive understanding of the multifaceted applications of these cutting-edge technologies. The book is a collaborative effort, allowing luminaries from quantum computing, artificial intelligence, biomedicine, bioengineering, molecular biology, and healthcare to share their expertise. Readers will find in-depth discussions on topics ranging from the detection of cardiomegaly using quantum-enhanced deep convolutional neural networks to applying quantum machine learning algorithms in predicting outbreaks of diseases such as dengue fever. The challenges of accountability in machine learning systems are explored beyond mere technical obstacles, establishing a critical dialogue on responsible innovation in this burgeoning field. This book is ideal for researchers, scientists, academics, and professionals across diverse disciplines in quantum innovations within biomedical intelligence. Graduate students and postdoctoral researchers will discover a valuable resource that expands their knowledge and unveils new avenues for research and future investigations.","Dutt, Vishal;Kumar, Abhishek;Ahuja, Sachin;Baliyan, Anupam;Vyas, Narayan",Book,Quantum Innovations at the Nexus of Biomedical Intelligence,2023-12-29,Chandigarh University,
Emerging technologies in digital manufacturing and smart factories,"Rapid digital transformation is forcing the manufacturing industry to drastically alter its current trajectory for future success. The remarkable convergence of digitalization and manufacturing is reshaping industries, ushering in an era known as Industry 5.0. This revolutionary transition has given birth to digital manufacturing and smart factories, heralding a new dawn in the way we produce goods. The amalgamation of artificial intelligence (AI), robotics, the internet of things (IoT), augmented reality (AR), virtual reality (VR), big data analytics, cloud computing, and additive manufacturing stands poised to unlock unprecedented avenues in the realm of production. Practitioners, researchers, dreamers, and pioneers all are beckoned to explore the uncharted territories of digital innovation in manufacturing. Emerging Technologies in Digital Manufacturing and Smart Factories spans domains from mechanical and electrical engineering to computer science, from industrial economics to business strategy, and this book addresses this diverse audience. The book embarks on a comprehensive voyage, unveiling the latest evolutions and nascent trends within digital manufacturing and smart factories. From inception to execution, from design optimization to predictive maintenance, every phase of the manufacturing lifecycle is scrutinized through the lens of cutting-edge technologies. Rather than relying exclusively on the theoretical realm, this book also ventures into the crucible of real-world application, offering practical insights drawn from varied industries, including automotive, aerospace, and pharmaceuticals. Threefold is the mission of this literary expedition. Firstly, it unravels the enigma of emerging technologies, delving into their underpinnings and illuminating their trajectories. Secondly, it investigates how these technologies evolve into tools for amplifying productivity, refining efficiency, and nurturing sustainability across the manufacturing spectrum. Lastly, it spotlights emblematic case studies that underscore the tangible prowess of these innovations, underscoring their real-world value. Within the pages of this game-changing reference, readers will glean insights that transcend academia. Industrialists will unearth strategies to fortify their operational resilience. Policymakers will chart pathways toward informed decision-making in a dynamic landscape. Entrepreneurs will discover avenues to harness disruption for transformation. Academics will find a wellspring of contemporary research that stretches the horizons of possibility.","Hassan, Ahdi;Dutta, Pushan Kumar;Gupta, Subir;Mattar, Ebrahim;Singh, Satya",Book,Emerging Technologies in Digital Manufacturing and Smart Factories,2023-12-29,Amity University Kolkata;University of Bahrain;Global Institute for Research Education and Scholarship;Swami Vivekanand University;Sharda University,
Advancement of Data Processing Methods for Artificial and Computing Intelligence,"This book emphasizes the applications of advances in data processing methods for Artificial Intelligence in today's fast-changing world, as well as to serve society through research, innovation, and development in this field. This book is applicable to a wide range of data that contribute to data science concerns and can be used to promote research in this high-potential new field. People's perceptions of the world and how they conduct their lives have changed dramatically as a result of technological advancements. The world has been gripped by technology, and the advances that are being made every day are undeniably transforming the planet. In the domains of Big Data, engineering, and data science, this cutting-edge technology is ready to support us. Artificial intelligence (AI) is a current research topic because it can be applied to a wide range of applications and disciplines to solve complicated problems and find optimal solutions. In research, medicine, technology, and the social sciences, the benefits of AI have already been proven. Data science, also known as pattern analytics and mining, is a technique for extracting useful and relevant information from databases, enabling better decision-making and strategy formulation in a range of fields. As a result of the exponential growth of data in recent years, the combined notions of big data and AI have given rise to many study areas, such as scale-up behaviour from classical algorithms. Furthermore, combining numerous AI technologies from other areas (such as vision, security, control, and biology) in order to build efficient and durable systems that interact in the real world is a new problem. Despite recent improvements in fundamental AI technologies, the integration of these skills into larger, trustworthy, transparent, and maintainable systems is still in its development. Both conceptually and practically, there are a number of unanswered issues.","Rawat, Seema;Devi, V. Ajantha;Kumar, Praveen",Book,Advancement of Data Processing Methods for Artificial and Computing Intelligence,2023-12-26,Amity University Tashkent;Astana IT University;AP3 Solutions,
Research progress and prospect of laser shock peening technology in aircraft structure,Light alloys such as aluminum alloy and titanium alloy are widely used in load-bearing structures such as aircraft beams，frames and panels. Since critical problems such as stress concentration and high working stress exist in the local areas such as holes，grooves，sockets and joints of aircraft，fatigue cracks are easy to occur under alternating load during service，restricting the service life of aircraft structures and even affecting flight safety. As a novel surface plastic-strengthening technology，Laser Shock Peening （LSP） can significantly improve the fatigue performance by imparting compressive residual stress and improving microstructure in the surface layer of the material without changing the material and structure size. Engineering applications of LSP have been realized in the U. S. F-22，F-35 and other aircraft. In this paper，the research progress and unsolved problems in LSP of typical aircraft structures including holes，welding，chamfers and high-bearing regions are deeply discussed. Besides，the research history and development characteristics of LSP of aircraft structures in recent years are analyzed and summarized. Moreover，research prospects are made from the aspects of equipment，mechanism，process and engineering application. By systematically teasing the research progress and technical problems，this paper aims to clarify the theoretical support and key technology required for future engineering application，facilitate the rapid development and collaboration of related innovation and industrial chains，and promote the large-scale application of LSP technology in anti-fatigue manufacturing and life-extension repairing of aircraft structures in China.,"Nie, Xiangfan;Li, Yang;Wang, Yazhou;Wan, Quanhong;He, Weifeng",Journal,Hangkong Xuebao/Acta Aeronautica et Astronautica Sinica,2023-12-25,Chengdu Aircraft Design and Research Institute;Air Force Engineering University China,aircraft structures ;  anti-fatigue manufacturing ;  fatigue performance ;  laser shock peening ;  life-extension repairing
Research trends in artificial intelligence: Internet of things,"Stay informed about recent trends and groundbreaking research driving innovation in the AI-IoT landscape. AI, a simulated form of natural intelligence within machines, has revolutionized various industries, simplifying daily tasks for end-users. This book serves as a handy reference, offering insights into the latest research and applications where AI and IoT intersect. The book includes 12 edited chapters that provide a comprehensive exploration of the synergies between AI and IoT. The contributors attempt to address engineering opportunities and challenges in different fields. Key Topics: •AI and IoT in Smart Farming: Explore how these technologies enhance crop yield and sustainability, revolutionizing agricultural practices. •AIoT (Artificial Intelligence of Things): Understand the amalgamation of AI and IoT and its applications, particularly focusing on smart cities and agriculture. •Smart Healthcare and Predictive Disease Analysis: Uncover the crucial role of AI and IoT in early disease prediction and improving healthcare outcomes. •Applications of AI in Various Sectors: Explore how AI contributes to sustainable development, sentiment analysis, education, autonomous vehicles, fashion, virtual trial rooms, and more. Each chapter has structured sections with summaries and reference lists, making it an invaluable resource for researchers, professionals, and enthusiasts keen on understanding the potential and impact of these technologies in today's rapidly evolving world.","Kothari, Sonali Mahendra;Khedkar, Vijayshri Nitin;Kshirsagar, Ujwala;Shinde, Gitanjali Rahul",Book,Research Trends in Artificial Intelligence: Internet of Things,2023-12-22,Symbiosis Institute of Technology;Vishwakarma Institute of Information Technology,
Project Practice Teaching of Logistics System Engineering,"Logistics system engineering is the core course of logistics engineering major. According to the development characteristics and trend of logistics industry, this paper studies and designs the main content of this course in project-based practice by using simulation and optimization tools in MATLAB and methods, which are commonly used in scientific research in the field of supply chain control and optimization. The practice includes exponential smooth forecasting, unitary linear regression modeling and forecasting, grey system modeling and forecasting, linear programming based minimum cost transportation, nonlinear programming-based supply and selection design, inventory system simulation and optimization. In the practice of this group of projects, students completed the tasks of mathematical model establishment, programming, simulation analysis and optimization, which improved the understanding and mastery of theoretical knowledge, trained the ability to analyze and solve engineering problems, and strongly supported the follow-up professional internship, innovation and entrepreneurship training and the development of college students' scientific research projects. Some students have the ability to conduct scientific research and publish academic papers under the guidance of teachers.","Li, Ming;Li, Na;Zhao, Zhangfei;Niu, Xiaofei",Conference Proceeding,ACM International Conference Proceeding Series,2023-12-22,Suzhou University,logistics system engineering ;  MATLAB simulation and optimization ;  project-based practice teaching
Current Status and Hotspots of STEM Education Research Revealed in Open Vision,"STEM education is regarded as the key to cultivating core competencies in the 21st century, and is of great significance for achieving science and technology innovation and talent cultivation. Using bibliometric method and visual analysis, the STEM education-related literature from 2013-2022 included in the Web of Science core collection is used as the data source. With the help of CiteSpace, Bicomb, and SPSS, the current status of international STEM education research is analyzed by detecting burst words in co-cited literature; and the hot topics of STEM education research are revealed by processing high-frequency keywords and conducting cluster analysis. To summarize the research experience of STEM education in the international perspective, some insights are drawn: promoting the deep learning of STEM education, deepening technology empowerment in STEM education, and attaching importance to the humanistic factors of STEM education. It is hoped that these insights will help to contribute to the localization and innovation of STEM education, meet the needs of comprehensive science and technology innovation talent cultivation, and promote high-quality development of education modernization.","Gou, Pingzhang;Hu, Xinyue",Conference Proceeding,ACM International Conference Proceeding Series,2023-12-22,Northwest Normal University China,Bibliometrics ;  Knowledge mapping ;  STEM education ;  Visualized analysis
